Time,X,Y,Z
1184400.448,0.858,-1.208,10.143
1184400.467,1.085,-1.156,10.261
1184400.486,0.713,-1.263,10.032
1184400.505,0.223,-0.988,10.162
1184400.524,-0.027,-1.207,9.993
1184400.543,-0.385,-1.13,10.061
1184400.563,-0.468,-1.156,10.261
1184400.581,-0.633,-1.113,10.02
1184400.6,-0.59,-1.092,10.045
1184400.619,-0.636,-1.083,10.158
1184400.638,-0.415,-1.197,9.859
1184400.657,-0.658,-1.211,9.613
1184400.676,-0.815,-1.208,9.735
1184400.695,-0.696,-1.349,9.604
1184400.714,-0.66,-1.332,9.641
1184400.732,-0.701,-1.322,9.528
1184400.751,-0.888,-1.344,9.647
1184400.77,-0.854,-1.361,9.681
1184400.789,-0.97,-1.317,9.505
1184400.808,-1.041,-1.135,9.805
1184400.827,-1.154,-1.103,9.431
1184400.846,-1.249,-0.904,9.463
1184400.865,-1.495,-0.753,9.145
1184400.884,-1.379,-0.681,9.584
1184400.903,-1.164,-0.661,9.342
1184400.922,-1.126,-0.661,9.693
1184400.941,-1.211,-0.586,9.548
1184400.96,-1.078,-0.538,9.866
1184400.979,-0.821,-0.559,9.731
1184400.998,-0.617,-0.476,9.898
1184401.017,-0.413,-0.376,9.904
1184401.036,-0.31,-0.281,9.973
1184401.055,-0.298,-0.2,10.189
1184401.074,-0.261,-0.202,10.067
1184401.092,-0.167,-0.277,10.271
1184401.111,0.105,-0.35,10.18
1184401.13,0.254,-0.39,10.489
1184401.149,0.339,-0.447,10.209
1184401.168,0.165,-0.367,10.39
1184401.187,0.084,-0.407,10.486
1184401.206,-0.072,-0.272,10.277
1184401.225,-0.112,-0.178,10.243
1184401.244,-0.385,-0.111,9.975
1184401.263,-0.281,-0.19,10.222
1184401.282,-0.06,-0.459,10.047
1184401.301,0.024,-0.55,10.49
1184401.32,-0.049,-0.693,10.07
1184401.339,-0.293,-0.837,10.407
1184401.358,-0.478,-0.965,9.865
1184401.377,-0.404,-0.981,9.898
1184401.396,-0.225,-0.964,9.469
1184401.415,-0.152,-0.793,9.354
1184401.434,-0.207,-0.631,9.321
1184401.453,-0.259,-0.437,9.289
1184401.471,-0.313,-0.527,9.201
1184401.49,-0.519,-0.465,9.315
1184401.509,-0.458,-0.555,9.481
1184401.528,-0.576,-0.611,9.305
1184401.547,-0.779,-0.582,9.585
1184401.567,-1.095,-0.54,9.525
1184401.585,-1.23,-0.539,9.632
1184401.604,-1.349,-0.458,9.497
1184401.623,-1.343,-0.502,9.692
1184401.642,-1.196,-0.464,9.543
1184401.661,-1.134,-0.522,9.738
1184401.68,-0.84,-0.557,9.743
1184401.699,-0.839,-0.591,9.858
1184401.718,-0.638,-0.602,10.014
1184401.737,-0.687,-0.637,9.909
1184401.756,-0.616,-0.642,10.154
1184401.775,-0.566,-0.754,9.999
1184401.794,-0.435,-0.705,10.13
1184401.813,-0.364,-0.658,9.991
1184401.832,-0.316,-0.535,10.094
1184401.85,-0.407,-0.496,9.837
1184401.869,-0.405,-0.396,10.241
1184401.888,-0.414,-0.345,10.114
1184401.907,-0.636,-0.224,10.095
1184401.926,-0.636,-0.22,9.9
1184401.945,-0.586,-0.279,10.041
1184401.964,-0.599,-0.384,10.224
1184401.983,-0.786,-0.336,10.317
1184402.002,-0.506,-0.441,10.169
1184402.021,-0.203,-0.478,9.826
1184402.04,-0.02,-0.39,9.828
1184402.059,0.046,-0.417,9.75
1184402.078,0.195,-0.527,9.896
1184402.098,0.363,-0.66,9.719
1184402.116,0.485,-0.717,9.832
1184402.135,0.531,-0.73,9.84
1184402.154,0.551,-0.717,9.86
1184402.173,0.227,-0.685,9.64
1184402.192,0.102,-0.705,9.777
1184402.211,0.056,-0.709,9.658
1184402.229,-0.14,-0.672,9.813
1184402.248,-0.202,-0.684,9.798
1184402.267,-0.478,-0.692,9.845
1184402.286,-0.505,-0.764,9.991
1184402.305,-0.672,-0.783,9.816
1184402.324,-0.518,-0.838,9.925
